Database,,,,,,,,,,,,,,,,,,,,,,
8_Toppo_2,8,2,5,1,,,In front of you is a scientific argument. You will also notice that above the argument is a driving question. This question is answered by the argument.,False,Block,Normal,"Variable[""classifierIntroduced""] == false and Variable[""classifierDone""] == false",,,[],,,[],,5e5ca515-1747-47b2-9356-b066df62a671,{{omit}},{{omit}},193.3764;262.6491
8_DANI_4,8,4,2,1,,,"Your job is to help me classify each component: Claim, Reasoning, and Evidence.",False,Block,Normal,,,,[],,,[],,,{{omit}},{{omit}},191.9566;313.4627
8_Toppo_7,8,7,5,1,,,Click the correct argument ring. It's that simple!,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},201.1783;538.7383
8_Player_12,8,12,1,5,,,,False,Block,Normal,,,Continue(),[],,,[],,71aee03d-592b-4897-b41e-97201b81c97f,{{omit}},{{omit}},197.2692;652.47
8_Toppo_13,8,13,5,1,,,Does the East well have cleaner water than the West well?\n\nWater that is deeper in the ground is cleaner because that water has to move through more underground soil.The East well will have the cleaner water than the West well. This East well is 50ft deeper than the West well.,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},1012.069;184.2816
8_Toppo_14,8,14,5,1,,,Does water evaporate quicker in oceans or rivers?\n\nWater will evaporate quicker from the ocean than from rivers. Oceans have over 650 times more surface area than rivers. This greater amount of surface area allows for more evaporation to occur in the ocean.,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},1012.069;234.2816
8_Toppo_15,8,15,5,1,,,Where does the water in the pool come from?\n\nWater that fills the pool below the condenser comes from the air. The air temperature decreased by 20 degrees. The colder air from the condenser causes the water molecules in the air to slow down enough for them to attract each other and form liquid water.,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},1012.069;284.2816
8_Toppo_16,8,16,5,1,,,Is the water polluted?\n\nThe sensors detect water pollution at 200 parts per million. We cannot see the water pollution because it is dissolved in the water. The water is polluted.,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},1012.069;334.2816
8_Toppo_17,8,17,5,1,,,"What happens to salt when it is added to a glass of water?\n\nWhen salt is added to a glass of water the salt is not destroyed. The mass of the water was 80 grams, the mass of the salt was 20g, and the total mass of the saltwater was 100g. After combining the water and salt, the salt dissolved into the water and the number of molecules was the same because the total mass was the sum of the combined salt and water.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},1012.069;384.2816
8_Toppo_18,8,18,5,1,,,"What is ice?\n\nWhen liquid water is cooled the molecules slow down causing ice to form. The temperature of water is 25 degrees celsius, the temperature of ice is 0 degrees celsius. Ice is frozen water.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},1012.069;434.2816
