,,,,,,,,,,,,,,,,,,,,,,
8_Toppo_7,8,7,5,1,,,Click on the orb and then click the correct argument ring. It's that simple!,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},201.1783;538.7383
8_Toppo_8,8,8,5,1,,,"If you have questions about claims, reasoning, or evidence, I’m here to help!",False,Block,Normal,,,,[],,,[],,f3a56837-2df0-4012-bf81-49f3eee163e8,{{omit}},{{omit}},197.2692;602.47
8_Toppo_11,8,11,5,1,,,"In each argument, the component that needs classification will be highlighted in blue.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},198.9055;477.0455
31_DANI_51,31,51,2,1,,,Let’s begin logging your three elements of an argument. To begin: click the claim orb to send it to the inner ring.,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},725.0348;700.0351
31_DANI_67,31,67,2,1,,,"Excellent. Claims need to be stored in the center ring. Next, we need to log evidence. Click the evidence orb to send it to the outer ring.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},726.2587;775.0492
31_DANI_68,31,68,2,1,,,Backing Info is found in the bottom right of the interface. Backing info contains key scientific information that you may need to complete your current argument. You can reference these at any time to help you in building your argument.,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},724.4042;494.2722
31_DANI_69,31,69,2,1,,,"Perfect. Evidence needs to be stored in the outer ring. Finally, we need to log reasoning. Click the reasoning orb to send it to the middle ring",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},726.2574;837.2564
31_DANI_70,31,70,2,1,,,"All three elements–claim, evidence, and reasoning–have been successfully logged. Once you have logged all elements successfully, you can submit the argument for review. Press “Submit” now, and I will review the argument for you.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},725.7325;904.8387
31_DANI_71,31,71,2,1,,,"Excellent, the argument is complete, TK. The engine should prove useful whenever you need to convince others that you are correct. Please close the Argumentation Engine.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},726.7824;964.8124
31_DANI_72,31,72,2,1,,,"Captain, we have completed orientation on the argumentation engine. You may begin the scientific argument with Cadet TK.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},727.7417;1025.844
31_DANI_73,31,73,2,1,,,"[In ear] Good luck, TK.",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},727.7417;1075.844
31_Toppo_74,31,74,5,1,,,"Excellent. Cadet, we want to argue that Planet WAT247 has fresh water. The oceans on WAT247 may be three times saltier than earth, but the planet has landmasses and we have observed our test Earth plants growing there. You need to choose the claim to get us started. Any questions? ",False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},727.7417;1125.844
31_Player_75,31,75,1,5,,,Claim?,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},617.6644;1193.455
31_Player_76,31,76,1,5,,,Article’s argument?,False,Block,Normal,,,,[],,,[],,{{omit}},{{omit}},{{omit}},617.6787;1246.285
